noticia,relevancia
Brasil reduz 70% da area queimada no primeiro trimestre de 2025,1
Operacao da PF mira fazendeiros por queimadas ilegais em Roraima,0
Fumaca de queimadas na gravidez pode afetar o peso do bebe,0
Novo aplicativo monitora focos de incendio em tempo real,1
Choveu forte na regiao e reduziu focos de calor,2
Ministerio alerta para aumento de queimadas no Centro-Oeste,0
ONGs lancam campanha para prevencao de queimadas na Amazonia,1
Pesquisadores desenvolvem drone para detectar focos de calor,1
Incendios florestais ameacam reservas indigenas em Rondonia,0
Estudo aponta que queimadas intensificam mudancas climaticas,0
Comunidades locais ajudam a conter incendios na Caatinga,1
Focos de calor crescem 80% em relacao ao mes anterior,0
Projeto de lei visa endurecer penas para crimes ambientais,1
Sensoriamento remoto indica reducao de queimadas em 2024,1
Voluntarios organizam mutirao de reflorestamento pos-incendio,1
Agricultores adotam tecnicas sustentaveis para evitar queimadas,1
Nova tecnologia promete prever incendios com IA,1
Moradores evacuam regiao apos avancao de queimadas,0
Animais silvestres sao resgatados apos incendios no Cerrado,0
Numero de queimadas atinge recorde historico no Pantanal,0
Queimadas ilegais geram prejuizo de milhoes ao agronegocio,0
Acordo internacional preve cooperacao no combate as queimadas,0
Queimadas afetam qualidade do ar em grandes cidades,1
Estudantes criam projeto para conscientizacao ambiental nas escolas,0
Populacao denuncia queimadas criminosas pelo WhatsApp,2
Chuvas inesperadas ajudam a conter incendios em areas criticas,0
Policia Ambiental fecha acampamento ilegal com foco de incendio,1
Sistema de alerta antecipado evita grandes incendios no Sul,1
Queimadas diminuem apos acoes educativas em comunidades rurais,1
Autoridades monitoram satellites para prever novos focos,1
Queimadas reduzem biodiversidade em áreas de proteção ambiental,0
Nova ferramenta usa satélites para prever focos de incêndio,1
População recebe treinamento para combater queimadas locais,1
Fumaça das queimadas provoca aumento de internações hospitalares,0
Projeto educacional ensina crianças a prevenir incêndios florestais,1
Universidade cria aplicativo para mapeamento de queimadas em tempo real,1
Incêndios se alastram por parque nacional e preocupam ambientalistas,0
Startup brasileira desenvolve IA para prever queimadas,1
Relatório mostra queda no número de focos de calor em 2025,1
Queimadas afetam produção agrícola e encarecem alimentos,0
Drone flagra ação criminosa em área de preservação,0
Campanha digital mobiliza jovens contra queimadas ilegais,1
Estudo revela ligação entre desmatamento e aumento de queimadas,0
Governo investe em brigadas voluntárias de combate ao fogo,1
Alerta de fumaça é emitido para cidades próximas à floresta,2
Agrônomos apontam técnicas eficazes para controle do fogo,1
Moradores relatam danos causados por fumaça em suas casas,0
Comunidade indígena cria sistema próprio de alerta de incêndios,1
Protestos pedem políticas mais duras contra queimadas ilegais,0
Sensores térmicos detectam fogo em área de difícil acesso,1
Governo realiza ações para mitigar queimadas no Cerrado,1
Estudo revela que queimadas no Pantanal afetam biodiversidade,0
Inovações tecnológicas ajudam na prevenção de queimadas florestais,1
Queimadas nos estados do Sul aumentam com a seca prolongada,0
Fumaça de incêndios prejudica qualidade do ar em grandes cidades,0
Campanha educativa visa conscientizar sobre queimadas ilegais,1
Agricultores alertam para o aumento das queimadas no interior,0
Organizações ambientais pedem mais ações contra queimadas,0
Pesquisadores criam novo método de monitoramento de queimadas,1
Programas de reflorestamento ajudam a conter danos de queimadas,1
Queimadas ilegais geram prejuízos milionários ao meio ambiente,0
Nova legislação visa combater as queimadas em áreas urbanas,1
Projeção aponta redução de queimadas em 2025,1
Queimadas aumentam com o avanço da estação seca,0
